date,HT_DCPHASE
2003-02-21 00:00:00,133.4929
2003-02-24 00:00:00,148.9119
2003-02-25 00:00:00,161.8977
2003-02-26 00:00:00,187.7378
2003-02-27 00:00:00,206.5289
2003-02-28 00:00:00,222.5721
2003-03-03 00:00:00,237.4185
2003-03-04 00:00:00,254.2577
2003-03-05 00:00:00,274.3244
2003-03-06 00:00:00,298.9571
2003-03-07 00:00:00,-34.089
2003-03-10 00:00:00,-13.0479
2003-03-11 00:00:00,-10.9766
2003-03-12 00:00:00,-10.9341
2003-03-13 00:00:00,-4.3825
2003-03-14 00:00:00,8.4477
2003-03-17 00:00:00,24.1354
2003-03-18 00:00:00,41.0848
2003-03-19 00:00:00,61.4714
2003-03-20 00:00:00,83.0364
2003-03-21 00:00:00,103.2172
2003-03-24 00:00:00,122.7265
2003-03-25 00:00:00,134.4224
2003-03-26 00:00:00,158.9151
2003-03-27 00:00:00,202.7803
2003-03-28 00:00:00,228.4239
2003-03-31 00:00:00,263.2458
2003-04-01 00:00:00,285.7842
2003-04-02 00:00:00,-40.5779
2003-04-03 00:00:00,-15.3536
2003-04-04 00:00:00,7.7302
2003-04-07 00:00:00,36.381
2003-04-08 00:00:00,49.8572
2003-04-09 00:00:00,60.0532
2003-04-10 00:00:00,68.6659
2003-04-11 00:00:00,19.557
2003-04-14 00:00:00,-42.7702
2003-04-15 00:00:00,-44.2676
2003-04-16 00:00:00,-37.3476
2003-04-17 00:00:00,-28.5963
2003-04-21 00:00:00,-19.9038
2003-04-22 00:00:00,-7.7796
2003-04-23 00:00:00,0.3047
2003-04-24 00:00:00,13.7822
2003-04-25 00:00:00,26.1984
2003-04-28 00:00:00,33.654
2003-04-29 00:00:00,48.8914
2003-04-30 00:00:00,66.4092
2003-05-01 00:00:00,85.7765
2003-05-02 00:00:00,95.8773
2003-05-05 00:00:00,114.9499
2003-05-06 00:00:00,128.751
2003-05-07 00:00:00,131.977
2003-05-08 00:00:00,135.1028
2003-05-09 00:00:00,134.0915
2003-05-12 00:00:00,133.8031
2003-05-13 00:00:00,133.9704
2003-05-14 00:00:00,138.4821
2003-05-15 00:00:00,142.3973
2003-05-16 00:00:00,146.4769
2003-05-19 00:00:00,154.0995
2003-05-20 00:00:00,165.4579
2003-05-21 00:00:00,176.7853
2003-05-22 00:00:00,184.1648
2003-05-23 00:00:00,194.0089
2003-05-27 00:00:00,200.1909
