date,ADX
2002-04-16 00:00:00,8.8647
2002-04-17 00:00:00,9.4005
2002-04-18 00:00:00,9.4941
2002-04-19 00:00:00,9.5829
2002-04-22 00:00:00,9.1259
2002-04-23 00:00:00,8.7483
2002-04-24 00:00:00,8.6765
2002-04-25 00:00:00,8.6967
2002-04-26 00:00:00,9.0719
2002-04-29 00:00:00,9.4284
2002-04-30 00:00:00,9.4878
2002-05-01 00:00:00,9.8038
2002-05-02 00:00:00,10.0589
2002-05-03 00:00:00,10.4166
2002-05-06 00:00:00,11.3354
2002-05-07 00:00:00,12.3733
2002-05-08 00:00:00,12.0841
2002-05-09 00:00:00,11.8093
2002-05-10 00:00:00,12.0177
2002-05-13 00:00:00,12.2372
2002-05-14 00:00:00,11.8342
2002-05-15 00:00:00,11.6139
2002-05-16 00:00:00,11.3477
2002-05-17 00:00:00,11.279
2002-05-20 00:00:00,11.1591
2002-05-21 00:00:00,10.8576
2002-05-22 00:00:00,10.6161
2002-05-23 00:00:00,10.3037
2002-05-24 00:00:00,9.9397
2002-05-28 00:00:00,9.6075
2002-05-29 00:00:00,9.1452
2002-05-30 00:00:00,8.706
2002-05-31 00:00:00,8.4346
2002-06-03 00:00:00,8.5915
2002-06-04 00:00:00,8.9574
2002-06-05 00:00:00,9.305
2002-06-06 00:00:00,9.3793
2002-06-07 00:00:00,10.0376
2002-06-10 00:00:00,10.663
2002-06-11 00:00:00,11.6792
2002-06-12 00:00:00,12.8337
2002-06-13 00:00:00,14.1402
2002-06-14 00:00:00,15.7875
2002-06-17 00:00:00,17.1398
2002-06-18 00:00:00,18.4244
2002-06-19 00:00:00,20.4137
2002-06-20 00:00:00,22.3092
2002-06-21 00:00:00,24.1218
2002-06-24 00:00:00,25.6574
2002-06-25 00:00:00,27.1162
2002-06-26 00:00:00,28.699
2002-06-27 00:00:00,30.2026
2002-06-28 00:00:00,31.179
2002-07-01 00:00:00,32.0578
2002-07-02 00:00:00,32.9554
2002-07-03 00:00:00,33.3778
2002-07-05 00:00:00,32.9975
2002-07-08 00:00:00,32.6482
2002-07-09 00:00:00,32.407
2002-07-10 00:00:00,32.2646
2002-07-11 00:00:00,32.2441
2002-07-12 00:00:00,31.8872
2002-07-15 00:00:00,31.7437
2002-07-16 00:00:00,31.6074
2002-07-17 00:00:00,32.3201
2002-07-18 00:00:00,33.1148
2002-07-19 00:00:00,33.9276
2002-07-22 00:00:00,34.6838
2002-07-23 00:00:00,35.45
2002-07-24 00:00:00,36.2318
2002-07-25 00:00:00,37.0427
2002-07-26 00:00:00,37.8725
2002-07-29 00:00:00,38.148
2002-07-30 00:00:00,38.0648
2002-07-31 00:00:00,37.9857
2002-08-01 00:00:00,37.9793
2002-08-02 00:00:00,38.1608
2002-08-05 00:00:00,38.4377
2002-08-06 00:00:00,38.2228
2002-08-07 00:00:00,37.9055
2002-08-08 00:00:00,37.586
2002-08-09 00:00:00,37.2923
2002-08-12 00:00:00,37.0439
2002-08-13 00:00:00,36.6161
2002-08-14 00:00:00,36.0683
2002-08-15 00:00:00,35.1582
2002-08-16 00:00:00,33.9751
2002-08-19 00:00:00,32.7184
2002-08-20 00:00:00,31.6647
2002-08-21 00:00:00,30.5246
2002-08-22 00:00:00,29.432
2002-08-23 00:00:00,28.5637
2002-08-26 00:00:00,27.9642
2002-08-27 00:00:00,27.7169
2002-08-28 00:00:00,27.5233
2002-08-29 00:00:00,27.4371
2002-08-30 00:00:00,27.2832
2002-09-03 00:00:00,27.5008
2002-09-04 00:00:00,27.4305
2002-09-05 00:00:00,27.4472
2002-09-06 00:00:00,27.1158
2002-09-09 00:00:00,26.8625
2002-09-10 00:00:00,26.6457
2002-09-11 00:00:00,26.3113
2002-09-12 00:00:00,26.02
2002-09-13 00:00:00,25.8064
2002-09-16 00:00:00,25.2348
2002-09-17 00:00:00,24.1757
2002-09-18 00:00:00,23.0999
2002-09-19 00:00:00,22.1232
2002-09-20 00:00:00,21.0236
2002-09-23 00:00:00,20.0647
2002-09-24 00:00:00,19.2162
2002-09-25 00:00:00,18.5427
2002-09-26 00:00:00,17.77
2002-09-27 00:00:00,16.9421
2002-09-30 00:00:00,16.465
2002-10-01 00:00:00,16.1764
2002-10-02 00:00:00,15.8581
2002-10-03 00:00:00,15.6056
2002-10-04 00:00:00,15.4422
2002-10-07 00:00:00,15.5821
2002-10-08 00:00:00,16.1468
2002-10-09 00:00:00,16.6832
2002-10-10 00:00:00,16.5731
2002-10-11 00:00:00,15.7913
