date,ADOSC
2001-10-29 00:00:00,1429770.3908
2001-10-30 00:00:00,656172.8722
2001-10-31 00:00:00,-886500.9193
2001-11-01 00:00:00,-100311.5341
2001-11-02 00:00:00,422512.4447
2001-11-05 00:00:00,1184119.4184
2001-11-06 00:00:00,3018871.7153
2001-11-07 00:00:00,2733382.2717
2001-11-08 00:00:00,836469.0559
2001-11-09 00:00:00,-429800.8102
2001-11-12 00:00:00,-558659.6712
2001-11-13 00:00:00,640867.1284
2001-11-14 00:00:00,1358135.8681
2001-11-15 00:00:00,1112588.2045
2001-11-16 00:00:00,1279136.0191
2001-11-19 00:00:00,2947329.5361
2001-11-20 00:00:00,1925033.2898
2001-11-21 00:00:00,1968128.7688
2001-11-23 00:00:00,1950388.1795
2001-11-26 00:00:00,3819113.9396
2001-11-27 00:00:00,4206481.4102
2001-11-28 00:00:00,2985793.429
2001-11-29 00:00:00,2102037.0003
2001-11-30 00:00:00,2869879.2687
2001-12-03 00:00:00,3256123.445
2001-12-04 00:00:00,4903685.6308
2001-12-05 00:00:00,7424556.8049
2001-12-06 00:00:00,7667582.3617
2001-12-07 00:00:00,7672546.7891
2001-12-10 00:00:00,6799131.9304
2001-12-11 00:00:00,4909202.6461
2001-12-12 00:00:00,3379653.8584
2001-12-13 00:00:00,2393159.3066
2001-12-14 00:00:00,1567918.9204
2001-12-17 00:00:00,1148708.4228
2001-12-18 00:00:00,1438727.1546
2001-12-19 00:00:00,2910672.9951
2001-12-20 00:00:00,2140953.294
2001-12-21 00:00:00,962258.2028
2001-12-24 00:00:00,586108.9693
2001-12-26 00:00:00,49086.3672
2001-12-27 00:00:00,328390.5719
2001-12-28 00:00:00,249377.6771
2001-12-31 00:00:00,-456423.2686
2002-01-02 00:00:00,2304837.5508
2002-01-03 00:00:00,5495812.2645
2002-01-04 00:00:00,7369237.5475
2002-01-07 00:00:00,5545913.5681
2002-01-08 00:00:00,3038985.9609
2002-01-09 00:00:00,709845.9434
2002-01-10 00:00:00,1244411.8346
2002-01-11 00:00:00,806565.2803
2002-01-14 00:00:00,554122.1189
2002-01-15 00:00:00,1690123.3603
2002-01-16 00:00:00,762362.6535
2002-01-17 00:00:00,1823455.7909
2002-01-18 00:00:00,1430030.0138
2002-01-22 00:00:00,-720660.5326
2002-01-23 00:00:00,914178.4302
2002-01-24 00:00:00,1531911.01
2002-01-25 00:00:00,2229117.476
2002-01-28 00:00:00,2656300.5696
2002-01-29 00:00:00,2094837.2775
2002-01-30 00:00:00,4130832.9964
2002-01-31 00:00:00,7163973.9932
