date,TRIMA
2002-03-11 00:00:00,23.2636
2002-03-12 00:00:00,23.2711
2002-03-13 00:00:00,23.3135
2002-03-14 00:00:00,23.4056
2002-03-15 00:00:00,23.5415
2002-03-18 00:00:00,23.692
2002-03-19 00:00:00,23.8509
2002-03-20 00:00:00,24.0093
2002-03-21 00:00:00,24.1581
2002-03-22 00:00:00,24.2755
2002-03-25 00:00:00,24.36
2002-03-26 00:00:00,24.4216
2002-03-27 00:00:00,24.4645
2002-03-28 00:00:00,24.4774
2002-04-01 00:00:00,24.461
2002-04-02 00:00:00,24.4249
2002-04-03 00:00:00,24.3747
2002-04-04 00:00:00,24.3124
2002-04-05 00:00:00,24.2465
2002-04-08 00:00:00,24.186
2002-04-09 00:00:00,24.1375
2002-04-10 00:00:00,24.1154
2002-04-11 00:00:00,24.1174
2002-04-12 00:00:00,24.1413
2002-04-15 00:00:00,24.177
2002-04-16 00:00:00,24.2324
2002-04-17 00:00:00,24.3153
2002-04-18 00:00:00,24.4128
2002-04-19 00:00:00,24.5127
2002-04-22 00:00:00,24.6081
2002-04-23 00:00:00,24.7005
2002-04-24 00:00:00,24.7781
2002-04-25 00:00:00,24.838
2002-04-26 00:00:00,24.8666
2002-04-29 00:00:00,24.8732
2002-04-30 00:00:00,24.8615
2002-05-01 00:00:00,24.8152
2002-05-02 00:00:00,24.7318
2002-05-03 00:00:00,24.6305
2002-05-06 00:00:00,24.5098
2002-05-07 00:00:00,24.3733
2002-05-08 00:00:00,24.2408
2002-05-09 00:00:00,24.1171
2002-05-10 00:00:00,24.0029
2002-05-13 00:00:00,23.9072
2002-05-14 00:00:00,23.8331
2002-05-15 00:00:00,23.7842
2002-05-16 00:00:00,23.7685
2002-05-17 00:00:00,23.782
2002-05-20 00:00:00,23.8279
2002-05-21 00:00:00,23.8999
2002-05-22 00:00:00,23.9876
2002-05-23 00:00:00,24.0789
2002-05-24 00:00:00,24.1771
2002-05-28 00:00:00,24.2728
2002-05-29 00:00:00,24.3539
2002-05-30 00:00:00,24.413
2002-05-31 00:00:00,24.4429
2002-06-03 00:00:00,24.4399
2002-06-04 00:00:00,24.4055
2002-06-05 00:00:00,24.3453
2002-06-06 00:00:00,24.2565
2002-06-07 00:00:00,24.1337
2002-06-10 00:00:00,23.9777
2002-06-11 00:00:00,23.7822
2002-06-12 00:00:00,23.5509
2002-06-13 00:00:00,23.2921
2002-06-14 00:00:00,23.014
2002-06-17 00:00:00,22.7317
2002-06-18 00:00:00,22.4446
2002-06-19 00:00:00,22.1245
2002-06-20 00:00:00,21.7651
2002-06-21 00:00:00,21.384
2002-06-24 00:00:00,20.999
2002-06-25 00:00:00,20.6081
2002-06-26 00:00:00,20.217
2002-06-27 00:00:00,19.8387
2002-06-28 00:00:00,19.4812
2002-07-01 00:00:00,19.1211
2002-07-02 00:00:00,18.7534
2002-07-03 00:00:00,18.4135
2002-07-05 00:00:00,18.1393
2002-07-08 00:00:00,17.9215
2002-07-09 00:00:00,17.7475
2002-07-10 00:00:00,17.6135
2002-07-11 00:00:00,17.5255
2002-07-12 00:00:00,17.4736
2002-07-15 00:00:00,17.449
2002-07-16 00:00:00,17.4533
2002-07-17 00:00:00,17.4773
2002-07-18 00:00:00,17.5072
2002-07-19 00:00:00,17.4988
2002-07-22 00:00:00,17.4475
2002-07-23 00:00:00,17.3579
2002-07-24 00:00:00,17.2466
2002-07-25 00:00:00,17.0979
2002-07-26 00:00:00,16.9045
2002-07-29 00:00:00,16.678
2002-07-30 00:00:00,16.4247
2002-07-31 00:00:00,16.1608
2002-08-01 00:00:00,15.9071
2002-08-02 00:00:00,15.672
2002-08-05 00:00:00,15.4628
2002-08-06 00:00:00,15.2842
2002-08-07 00:00:00,15.1318
2002-08-08 00:00:00,15.0073
2002-08-09 00:00:00,14.9245
2002-08-12 00:00:00,14.8703
2002-08-13 00:00:00,14.8375
2002-08-14 00:00:00,14.8261
2002-08-15 00:00:00,14.8254
2002-08-16 00:00:00,14.8387
2002-08-19 00:00:00,14.8748
2002-08-20 00:00:00,14.93
2002-08-21 00:00:00,14.9926
2002-08-22 00:00:00,15.0629
2002-08-23 00:00:00,15.1313
2002-08-26 00:00:00,15.1985
2002-08-27 00:00:00,15.2685
2002-08-28 00:00:00,15.3417
2002-08-29 00:00:00,15.4075
2002-08-30 00:00:00,15.4564
2002-09-03 00:00:00,15.4753
2002-09-04 00:00:00,15.4631
2002-09-05 00:00:00,15.4226
2002-09-06 00:00:00,15.3578
2002-09-09 00:00:00,15.2745
2002-09-10 00:00:00,15.1737
2002-09-11 00:00:00,15.0629
2002-09-12 00:00:00,14.9446
2002-09-13 00:00:00,14.8258
2002-09-16 00:00:00,14.713
2002-09-17 00:00:00,14.6166
2002-09-18 00:00:00,14.5427
2002-09-19 00:00:00,14.4855
2002-09-20 00:00:00,14.4503
2002-09-23 00:00:00,14.4339
2002-09-24 00:00:00,14.4327
2002-09-25 00:00:00,14.4483
2002-09-26 00:00:00,14.474
2002-09-27 00:00:00,14.5098
2002-09-30 00:00:00,14.5505
2002-10-01 00:00:00,14.5907
2002-10-02 00:00:00,14.6165
2002-10-03 00:00:00,14.6347
2002-10-04 00:00:00,14.6417
2002-10-07 00:00:00,14.6345
2002-10-08 00:00:00,14.6142
2002-10-09 00:00:00,14.579
2002-10-10 00:00:00,14.5327
2002-10-11 00:00:00,14.4795
2002-10-14 00:00:00,14.4236
2002-10-15 00:00:00,14.3737
2002-10-16 00:00:00,14.33
2002-10-17 00:00:00,14.2923
2002-10-18 00:00:00,14.2599
2002-10-21 00:00:00,14.2424
2002-10-22 00:00:00,14.2438
2002-10-23 00:00:00,14.2655
2002-10-24 00:00:00,14.3045
2002-10-25 00:00:00,14.3571
2002-10-28 00:00:00,14.4192
2002-10-29 00:00:00,14.4814
2002-10-30 00:00:00,14.5505
2002-10-31 00:00:00,14.634
2002-11-01 00:00:00,14.7375
2002-11-04 00:00:00,14.8595
2002-11-05 00:00:00,14.9942
2002-11-06 00:00:00,15.141
2002-11-07 00:00:00,15.2881
2002-11-08 00:00:00,15.4338
2002-11-11 00:00:00,15.5672
2002-11-12 00:00:00,15.6947
2002-11-13 00:00:00,15.8162
2002-11-14 00:00:00,15.9268
2002-11-15 00:00:00,16.0159
2002-11-18 00:00:00,16.0754
2002-11-19 00:00:00,16.0988
2002-11-20 00:00:00,16.0869
2002-11-21 00:00:00,16.0569
2002-11-22 00:00:00,16.0165
2002-11-25 00:00:00,15.9797
2002-11-26 00:00:00,15.9449
2002-11-27 00:00:00,15.9095
2002-11-29 00:00:00,15.8703
2002-12-02 00:00:00,15.822
2002-12-03 00:00:00,15.773
2002-12-04 00:00:00,15.7325
2002-12-05 00:00:00,15.6987
2002-12-06 00:00:00,15.6675
2002-12-09 00:00:00,15.6217
2002-12-10 00:00:00,15.5681
2002-12-11 00:00:00,15.5078
2002-12-12 00:00:00,15.4448
2002-12-13 00:00:00,15.3742
2002-12-16 00:00:00,15.3078
2002-12-17 00:00:00,15.2477
2002-12-18 00:00:00,15.1885
2002-12-19 00:00:00,15.128
2002-12-20 00:00:00,15.0684
2002-12-23 00:00:00,15.0191
2002-12-24 00:00:00,14.9729
2002-12-26 00:00:00,14.9231
2002-12-27 00:00:00,14.8623
2002-12-30 00:00:00,14.7997
2002-12-31 00:00:00,14.7389
2003-01-02 00:00:00,14.6785
2003-01-03 00:00:00,14.6219
2003-01-06 00:00:00,14.5753
2003-01-07 00:00:00,14.539
2003-01-08 00:00:00,14.5106
2003-01-09 00:00:00,14.4875
2003-01-10 00:00:00,14.4757
2003-01-13 00:00:00,14.479
2003-01-14 00:00:00,14.4975
2003-01-15 00:00:00,14.5234
2003-01-16 00:00:00,14.5524
2003-01-17 00:00:00,14.5766
2003-01-21 00:00:00,14.5899
2003-01-22 00:00:00,14.588
2003-01-23 00:00:00,14.5762
2003-01-24 00:00:00,14.5558
2003-01-27 00:00:00,14.5272
2003-01-28 00:00:00,14.4952
2003-01-29 00:00:00,14.4577
2003-01-30 00:00:00,14.4144
2003-01-31 00:00:00,14.3677
2003-02-03 00:00:00,14.3278
2003-02-04 00:00:00,14.3005
2003-02-05 00:00:00,14.2863
2003-02-06 00:00:00,14.2833
2003-02-07 00:00:00,14.2869
2003-02-10 00:00:00,14.3005
2003-02-11 00:00:00,14.3175
2003-02-12 00:00:00,14.3331
2003-02-13 00:00:00,14.351
2003-02-14 00:00:00,14.3727
2003-02-18 00:00:00,14.4024
2003-02-19 00:00:00,14.4292
2003-02-20 00:00:00,14.4536
2003-02-21 00:00:00,14.4781
2003-02-24 00:00:00,14.5055
2003-02-25 00:00:00,14.5359
2003-02-26 00:00:00,14.5656
2003-02-27 00:00:00,14.6017
2003-02-28 00:00:00,14.6438
2003-03-03 00:00:00,14.6837
2003-03-04 00:00:00,14.7144
2003-03-05 00:00:00,14.7374
2003-03-06 00:00:00,14.7562
2003-03-07 00:00:00,14.7678
2003-03-10 00:00:00,14.7709
2003-03-11 00:00:00,14.7615
2003-03-12 00:00:00,14.7434
2003-03-13 00:00:00,14.7226
2003-03-14 00:00:00,14.6955
2003-03-17 00:00:00,14.6675
2003-03-18 00:00:00,14.6435
2003-03-19 00:00:00,14.6291
2003-03-20 00:00:00,14.6199
2003-03-21 00:00:00,14.6169
2003-03-24 00:00:00,14.6182
2003-03-25 00:00:00,14.6257
2003-03-26 00:00:00,14.6422
2003-03-27 00:00:00,14.6591
2003-03-28 00:00:00,14.6754
2003-03-31 00:00:00,14.6858
2003-04-01 00:00:00,14.6854
2003-04-02 00:00:00,14.6777
2003-04-03 00:00:00,14.663
2003-04-04 00:00:00,14.6397
