date,DX
2001-12-19 00:00:00,22.1819
2001-12-20 00:00:00,22.1819
2001-12-21 00:00:00,22.8774
2001-12-24 00:00:00,22.8774
2001-12-26 00:00:00,31.1564
2001-12-27 00:00:00,31.1564
2001-12-28 00:00:00,37.6954
2001-12-31 00:00:00,35.3497
2002-01-02 00:00:00,40.594
2002-01-03 00:00:00,43.9586
2002-01-04 00:00:00,45.4052
2002-01-07 00:00:00,40.8139
2002-01-08 00:00:00,35.3767
2002-01-09 00:00:00,16.1652
2002-01-10 00:00:00,2.8807
2002-01-11 00:00:00,6.9441
2002-01-14 00:00:00,6.9441
2002-01-15 00:00:00,10.9604
2002-01-16 00:00:00,1.8358
2002-01-17 00:00:00,15.5322
2002-01-18 00:00:00,15.5322
2002-01-22 00:00:00,13.6822
2002-01-23 00:00:00,20.1254
2002-01-24 00:00:00,24.298
2002-01-25 00:00:00,20.9031
2002-01-28 00:00:00,22.116
2002-01-29 00:00:00,22.116
2002-01-30 00:00:00,27.7794
2002-01-31 00:00:00,32.8348
2002-02-01 00:00:00,34.7102
2002-02-04 00:00:00,39.0705
2002-02-05 00:00:00,42.3968
2002-02-06 00:00:00,27.575
2002-02-07 00:00:00,26.5315
2002-02-08 00:00:00,16.3691
2002-02-11 00:00:00,19.8067
2002-02-12 00:00:00,20.1904
2002-02-13 00:00:00,22.1508
2002-02-14 00:00:00,18.0308
2002-02-15 00:00:00,10.3409
2002-02-19 00:00:00,6.2743
2002-02-20 00:00:00,7.6631
2002-02-21 00:00:00,16.6623
2002-02-22 00:00:00,16.6623
2002-02-25 00:00:00,3.7741
2002-02-26 00:00:00,3.7741
2002-02-27 00:00:00,17.2005
2002-02-28 00:00:00,17.2005
2002-03-01 00:00:00,7.6989
2002-03-04 00:00:00,2.2058
2002-03-05 00:00:00,2.2058
2002-03-06 00:00:00,2.1342
2002-03-07 00:00:00,0.3214
2002-03-08 00:00:00,4.9145
2002-03-11 00:00:00,2.8956
2002-03-12 00:00:00,2.8956
2002-03-13 00:00:00,4.0211
2002-03-14 00:00:00,0.9964
2002-03-15 00:00:00,4.8784
2002-03-18 00:00:00,5.8499
2002-03-19 00:00:00,8.58
2002-03-20 00:00:00,8.58
2002-03-21 00:00:00,6.3452
2002-03-22 00:00:00,3.2138
2002-03-25 00:00:00,9.975
2002-03-26 00:00:00,12.4282
2002-03-27 00:00:00,11.3634
2002-03-28 00:00:00,9.1864
2002-04-01 00:00:00,1.2298
2002-04-02 00:00:00,1.2298
2002-04-03 00:00:00,2.175
2002-04-04 00:00:00,4.8147
2002-04-05 00:00:00,6.4979
2002-04-08 00:00:00,2.1516
2002-04-09 00:00:00,6.182
2002-04-10 00:00:00,6.182
2002-04-11 00:00:00,9.412
2002-04-12 00:00:00,6.6297
2002-04-15 00:00:00,6.6297
2002-04-16 00:00:00,17.5944
2002-04-17 00:00:00,19.5825
2002-04-18 00:00:00,11.2712
2002-04-19 00:00:00,11.2712
2002-04-22 00:00:00,0.442
2002-04-23 00:00:00,1.5746
2002-04-24 00:00:00,7.3114
2002-04-25 00:00:00,9.0802
2002-04-26 00:00:00,16.2015
2002-04-29 00:00:00,16.2015
2002-04-30 00:00:00,10.616
2002-05-01 00:00:00,15.8078
2002-05-02 00:00:00,14.9071
